PID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45
1378753,3,3,2,3,5,5,5,2,5,4,3,4,5,4,4,4,3,1,4,3,4,6,7,5,5,5,5,4,3,4,5,5,5,4,6,4,4,6,6,6,3,4,4,6,6
1437006,5,3,2,5,3,4,2,1,4,5,1,3,2,3,4,2,4,3,3,3,2,5,2,1,5,5,4,6,5,6,6,7,7,6,7,6,4,6,5,5,5,7,6,5,5
519146,4,4,3,6,3,1,3,3,4,1,1,4,2,2,2,2,3,2,3,4,4,3,4,5,6,5,5,3,3,5,4,4,6,4,5,2,6,7,4,5,3,5,5,6,7
209377,3,6,6,3,3,3,3,3,5,4,4,6,2,1,5,6,4,5,4,4,5,7,7,4,6,6,5,6,4,4,5,2,7,3,5,4,7,4,4,3,5,5,4,3,5
1352536,5,5,5,4,4,5,4,5,5,4,5,4,4,4,4,4,4,3,1,1,5,3,1,4,7,6,6,6,5,2,5,7,7,3,7,6,4,6,6,2,2,5,6,3,5
258812,4,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,7,7,4,4,5,5,6,6,6,6,6,7,2,5,6,4,5,6,4,3,5,3,3,3,5,2,3,7,1
1279429,4,3,5,5,3,3,3,2,3,3,2,6,6,5,7,5,5,4,4,4,6,7,7,5,4,2,5,1,3,4,6,6,5,4,5,5,4,5,2,1,5,2,7,6,6
1108014,5,2,3,7,2,4,1,4,4,6,6,4,5,3,4,4,2,3,5,3,4,4,5,5,5,6,3,7,6,4,4,3,3,4,4,5,4,6,5,5,5,3,4,6,5
1390171,5,5,3,3,2,4,4,2,5,4,4,3,7,3,5,6,3,4,2,4,6,4,7,3,3,4,5,5,3,4,5,5,4,4,7,5,6,5,3,5,3,1,4,7,5
687701,2,4,4,4,2,3,3,4,4,2,4,5,4,2,3,4,3,3,6,1,5,6,6,5,6,5,6,5,4,5,4,5,3,7,7,3,5,5,4,5,4,3,5,4,5
1090454,4,3,5,5,4,4,5,4,4,4,4,3,4,3,4,3,4,4,5,1,3,3,5,2,5,5,5,6,4,6,5,2,6,3,5,5,7,6,6,5,4,4,7,6,6
1228685,4,1,3,5,5,3,4,4,4,3,3,3,3,3,5,3,4,4,5,2,4,5,4,4,5,5,5,2,3,5,5,6,6,4,7,6,6,6,4,7,6,4,5,5,6
1374406,4,3,4,6,4,4,4,4,5,4,4,5,5,5,5,5,4,4,3,1,6,4,6,3,5,6,6,7,5,5,6,2,7,7,7,5,1,4,2,5,6,1,4,1,5
